index,VIN (1-10),DOL Vehicle ID,Model Year,Make,Model,New or Used Vehicle,Sale Date,Transaction Type,Transaction Date,Year,County,City,Postal Code
1,5YJ3E1EB7K,244708467,2019,TESLA,Model 3,New,,Original Registration,February 28 2019,2019,King,BELLEVUE,98007.0
6,YV4H600A3P,227359303,2023,VOLVO,XC90,New,,Original Registration,December 22 2022,2022,King,ISSAQUAH,98027.0
13,JN1AZ0CP6B,101926373,2011,NISSAN,Leaf,New,February 28 2011,Original Registration,April 19 2011,2011,King,SEATTLE,98134.0
71,5YJYGDEE7M,176302234,2021,TESLA,Model Y,New,August 28 2021,Original Title,September 21 2021,2021,King,RENTON,98059.0
74,1G1FY6S09P,261162457,2023,CHEVROLET,Bolt EUV,New,,Original Registration,January 25 2024,2024,King,SEATTLE,98125.0
75,5YJ3E1EB9M,161860506,2021,TESLA,Model 3,New,,Original Registration,July 15 2021,2021,King,SHORELINE,98155.0
92,7SAYGDEE5R,261512982,2024,TESLA,Model Y,New,February 29 2024,Original Title,March 20 2024,2024,King,ISSAQUAH,98027.0
94,5YJYGDEE4M,161826360,2021,TESLA,Model Y,New,June 15 2021,Original Title,July 08 2021,2021,King,SEATTLE,98106.0
95,1N4AZ0CP0D,215957731,2013,NISSAN,Leaf,New,July 16 2013,Original Title,August 08 2013,2013,Jefferson,PORT TOWNSEND,98368.0
98,JTDKARFP9H,258436139,2017,TOYOTA,Prius Prime,New,,Original Registration,January 11 2018,2018,Thurston,OLYMPIA,98506.0
116,5YJ3E1EA8P,260980009,2023,TESLA,Model 3,New,,Original Registration,February 09 2024,2024,King,SEATTLE,98146.0
118,WBY1Z2C54F,2263033,2015,BMW,i3,New,December 20 2015,Original Title,January 13 2016,2016,King,SEATTLE,98146.0
121,5YJ3E1EB8L,6263603,2020,TESLA,Model 3,New,December 24 2019,Original Title,January 21 2020,2020,King,SEATTLE,98146.0
126,7SAYGDEE0P,239895533,2023,TESLA,Model Y,New,,Original Registration,May 24 2023,2023,King,SEATTLE,98178.0
128,7SAYGAEE8P,252614022,2023,TESLA,Model Y,New,,Original Registration,August 26 2023,2023,King,KIRKLAND,98034.0
130,5YJ3E1EA8J,348081513,2018,TESLA,Model 3,New,March 20 2018,Original Title,April 03 2018,2018,King,BOTHELL,98011.0
131,7PDSGBBA5R,261910603,2024,RIVIAN,R1S,New,March 03 2024,Original Title,March 23 2024,2024,King,BOTHELL,98011.0
134,5YJXCBE21G,226212199,2016,TESLA,Model X,New,September 28 2016,Original Registration,October 21 2016,2016,King,BOTHELL,98011.0
142,KM8KRDDF9R,267054679,2024,HYUNDAI,Ioniq 5,New,,Original Registration,July 11 2024,2024,King,BOTHELL,98011.0
143,7SAYGDEE2P,224632481,2023,TESLA,Model Y,New,December 10 2022,Original Title,January 11 2023,2023,King,KENT,98031.0
149,WA1E2AFYXR,267032426,2024,AUDI,Q5 e,New,May 29 2024,Original Title,July 03 2024,2024,King,SEATTLE,98177.0
151,7SAYGDEE9N,213557746,2022,TESLA,Model Y,New,August 20 2022,Original Title,October 04 2022,2022,King,REDMOND,98052.0
158,7SAYGDEE3P,259672381,2023,TESLA,Model Y,New,December 08 2023,Original Title,January 10 2024,2024,King,BOTHELL,98011.0
160,1FTVW1ELXN,221521352,2022,FORD,F-150,New,November 12 2022,Original Title,December 07 2022,2022,King,BELLEVUE,98004.0
165,WA1VAAGE4K,280087587,2019,AUDI,e-tron,New,,Original Registration,October 08 2019,2019,King,BELLEVUE,98004.0
173,JA4T5VA9XR,271792013,2024,MITSUBISHI,Outlander,New,September 11 2024,Original Title,September 23 2024,2024,King,KENT,98030.0
178,2C4RC1N78L,101037373,2020,CHRYSLER,Pacifica,New,January 28 2020,Original Title,February 27 2020,2020,King,KIRKLAND,98033.0
181,JHMZC5F16J,247485710,2018,HONDA,Clarity,New,,Original Registration,August 07 2018,2018,King,KIRKLAND,98033.0
183,1N4AZ0CP0E,184206585,2014,NISSAN,Leaf,New,June 01 2014,Original Registration,June 26 2014,2014,King,KIRKLAND,98033.0
187,JTDKARFP0H,344024978,2017,TOYOTA,Prius Prime,New,September 25 2017,Original Title,October 11 2017,2017,King,SAMMAMISH,98074.0
189,3FMTK1RMXM,148917611,2021,FORD,Mustang Mach-E,New,,Original Registration,March 22 2021,2021,King,SAMMAMISH,98075.0
191,4JGGM1CB9P,259825877,2023,MERCEDES-BENZ,EQE-Class SUV,New,,Original Registration,January 08 2024,2024,King,SAMMAMISH,98075.0
192,1G1FY6S08P,261713147,2023,CHEVROLET,Bolt EUV,New,,Original Registration,March 29 2024,2024,King,SEATTLE,98112.0
193,7SAYGAEE4N,212165922,2022,TESLA,Model Y,New,August 20 2022,Original Title,October 04 2022,2022,King,SAMMAMISH,98075.0
195,KM8KRDDF8R,268371911,2024,HYUNDAI,Ioniq 5,New,,Original Registration,June 06 2024,2024,King,SAMMAMISH,98075.0
196,1N4BZ1CP8K,215111060,2019,NISSAN,Leaf,New,October 19 2019,Original Title,November 14 2019,2019,King,SEATTLE,98112.0
217,1G1FX6S0XN,167348023,2022,CHEVROLET,Bolt EV,New,,Original Registration,July 27 2021,2021,King,SEATTLE,98115.0
220,JN1AF0BA8P,252330753,2023,NISSAN,ARIYA,New,,Original Registration,August 29 2023,2023,Clark,VANCOUVER,98664.0
228,7SAYGDEE6N,205693967,2022,TESLA,Model Y,New,,Original Registration,June 29 2022,2022,Clark,CAMAS,98607.0
232,KM8KMDAF0N,209257716,2022,HYUNDAI,Ioniq 5,New,,Original Registration,July 15 2022,2022,Clark,CAMAS,98607.0
